                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.19354,                0.17573,                0.83805,                0.97139,                0.87076,                0.94231,                0.53885,                 1.3781,                0.77062,                 2.3467,               0.006898,               0.006898,               0.006898
                     49,                0.19847,                0.17628,                0.83484,                0.96521,                0.87179,                0.94589,                0.51017,                 1.4799,                0.76167,                 2.5528,               0.006832,               0.006832,               0.006832
                     50,                0.18957,                0.17354,                0.83496,                0.97136,                0.86957,                0.92884,                0.49879,                 1.4939,                0.82604,                 2.7829,               0.006766,               0.006766,               0.006766
                     51,                0.19206,                0.17261,                0.83691,                 0.9576,                0.79487,                0.90633,                0.47763,                 1.5691,                0.90499,                 2.7506,                 0.0067,                 0.0067,                 0.0067
                     52,                0.18491,                0.16905,                0.83183,                0.97142,                0.87139,                0.92737,                0.51265,                 1.4644,                0.72087,                 2.5005,               0.006634,               0.006634,               0.006634
                     53,                0.18217,                0.16788,                0.83436,                0.96851,                0.87179,                0.95065,                0.54937,                 1.3641,                0.70598,                 2.2496,               0.006568,               0.006568,               0.006568
                     54,                0.17598,                0.16481,                0.83024,                0.97205,                0.89744,                0.93824,                0.49893,                 1.4999,                0.75601,                  2.639,               0.006502,               0.006502,               0.006502
                     55,                0.18789,                0.16906,                0.83046,                0.97116,                0.86352,                0.90703,                0.52381,                 1.3503,                0.83916,                 2.4266,               0.006436,               0.006436,               0.006436
                     56,                0.17709,                0.16064,                0.82905,                0.91239,                0.84615,                0.91111,                0.51912,                 1.4587,                0.85311,                 2.5303,                0.00637,                0.00637,                0.00637
                     57,                 0.1777,                0.16291,                 0.8314,                 0.9971,                0.87179,                0.94186,                0.57946,                 1.3531,                0.72484,                 2.4084,               0.006304,               0.006304,               0.006304
                     58,                0.17284,                0.15894,                0.82858,                0.88883,                0.89744,                0.94157,                0.50907,                 1.4138,                0.81053,                  2.448,               0.006238,               0.006238,               0.006238
                     59,                0.16976,                0.15633,                0.82992,                0.93498,                0.73762,                0.88904,                0.51543,                 1.3064,                0.87385,                 2.2016,               0.006172,               0.006172,               0.006172
                     60,                 0.1693,                0.15295,                0.83099,                0.90769,                0.82051,                0.91621,                0.50128,                 1.4802,                0.89076,                 2.5248,               0.006106,               0.006106,               0.006106
                     61,                0.16251,                0.14914,                0.82779,                0.86477,                0.89744,                0.91502,                0.51167,                 1.4646,                0.82794,                 2.5505,                0.00604,                0.00604,                0.00604
                     62,                0.15784,                0.14765,                0.82845,                0.94033,                0.87179,                 0.9114,                0.52178,                 1.2617,                0.77728,                 2.3175,               0.005974,               0.005974,               0.005974
                     63,                0.15873,                0.14771,                0.83117,                0.84787,                0.82051,                  0.905,                0.49059,                 1.4576,                0.83253,                 2.5233,               0.005908,               0.005908,               0.005908
                     64,                0.15455,                0.14352,                0.82593,                0.92049,                0.89071,                0.93005,                0.52844,                 1.3544,                0.80209,                 2.3998,               0.005842,               0.005842,               0.005842
                     65,                   0.15,                0.13909,                0.82414,                0.78621,                 0.8487,                0.91362,                0.50845,                 1.3862,                0.86951,                  2.453,               0.005776,               0.005776,               0.005776
                     66,                0.14804,                0.14099,                0.82663,                0.94185,                0.87179,                0.93233,                0.54003,                 1.3875,                0.74456,                 2.4668,                0.00571,                0.00571,                0.00571
                     67,                0.14464,                0.13635,                0.82358,                0.97135,                0.87179,                0.94139,                0.54031,                  1.356,                0.81587,                 2.3947,               0.005644,               0.005644,               0.005644
                     68,                0.14166,                0.13204,                0.82306,                0.89676,                0.89744,                0.93878,                0.55373,                 1.2999,                0.75215,                 2.2589,               0.005578,               0.005578,               0.005578
                     69,                0.13906,                0.13267,                0.82377,                0.99884,                0.87179,                0.92728,                0.55999,                 1.3224,                0.80053,                 2.2265,               0.005512,               0.005512,               0.005512
                     70,                0.13755,                0.12994,                0.82419,                0.91539,                0.83245,                0.94359,                0.55205,                 1.3501,                0.77991,                 2.3612,               0.005446,               0.005446,               0.005446
                     71,                0.13589,                0.13588,                0.82145,                0.97214,                0.89484,                0.94222,                0.52628,                 1.4003,                0.81022,                 2.4333,                0.00538,                0.00538,                0.00538
                     72,                0.13478,                0.12717,                0.82441,                0.99547,                0.84615,                0.97084,                0.54388,                 1.4459,                0.77737,                 2.4624,               0.005314,               0.005314,               0.005314
                     73,                0.13213,                0.12619,                0.82414,                0.93999,                0.87179,                 0.9408,                0.55956,                 1.3922,                0.82986,                 2.3985,               0.005248,               0.005248,               0.005248
                     74,                0.13209,                0.12448,                0.82297,                0.97135,                0.86927,                0.93814,                0.54157,                 1.3871,                0.86218,                 2.4468,               0.005182,               0.005182,               0.005182
                     75,                0.13188,                0.12699,                0.82041,                0.97093,                0.85658,                0.94957,                0.54236,                 1.4345,                0.94694,                 2.4911,               0.005116,               0.005116,               0.005116
                     76,                0.13001,                0.12282,                0.82207,                0.92038,                0.88934,                0.95743,                 0.5098,                 1.5585,                0.90215,                 2.7879,                0.00505,                0.00505,                0.00505
                     77,                0.12567,                0.11857,                0.82038,                0.96624,                0.84615,                 0.9565,                0.53308,                 1.5252,                0.85238,                 2.6967,               0.004984,               0.004984,               0.004984
                     78,                 0.1284,                0.12418,                  0.822,                0.95926,                0.82051,                0.92701,                0.51641,                 1.4928,                0.85735,                 2.6358,               0.004918,               0.004918,               0.004918
                     79,                0.12708,                0.12121,                0.82214,                      1,                0.84211,                0.94727,                0.53362,                 1.4433,                0.80054,                 2.5271,               0.004852,               0.004852,               0.004852
                     80,                0.12477,                0.12228,                0.82163,                0.99589,                0.82051,                 0.9388,                0.56121,                 1.4548,                0.82788,                 2.6205,               0.004786,               0.004786,               0.004786
