                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.3113,                0.27047,                0.77835,                0.54655,                 0.9676,                0.76722,                0.49309,                 1.6696,                 1.0361,                 1.2938,               0.005644,               0.005644,               0.005644
                     68,                0.30948,                0.27277,                0.77877,                0.55531,                0.99912,                0.73468,                0.43999,                 1.6418,                0.97897,                 1.2673,               0.005578,               0.005578,               0.005578
                     69,                0.31039,                0.26736,                0.77698,                0.55466,                0.99678,                 0.7404,                0.41985,                 1.6482,                 1.1131,                 1.2619,               0.005512,               0.005512,               0.005512
                     70,                0.30381,                0.26109,                0.77598,                0.62173,                 0.9878,                   0.84,                0.50848,                 1.5172,                0.92004,                 1.2072,               0.005446,               0.005446,               0.005446
                     71,                0.29402,                0.25873,                0.77418,                0.49651,                0.79023,                0.73722,                0.46179,                  1.529,                 1.2025,                 1.2029,                0.00538,                0.00538,                0.00538
                     72,                0.29079,                0.25696,                0.77551,                0.52699,                0.89716,                 0.7404,                0.44415,                 1.6285,                 1.0958,                 1.2087,               0.005314,               0.005314,               0.005314
                     73,                0.29033,                0.25504,                0.77678,                0.96303,                    0.4,                0.62036,                0.37693,                 1.6582,                 1.4268,                  1.257,               0.005248,               0.005248,               0.005248
                     74,                0.29321,                0.25118,                0.77942,                0.50393,                0.81414,                0.73468,                0.46128,                 1.5989,                 1.1409,                 1.1937,               0.005182,               0.005182,               0.005182
                     75,                0.28339,                0.24831,                0.77603,                0.53698,                      1,                   0.77,                0.44095,                   1.73,                 1.0321,                 1.2572,               0.005116,               0.005116,               0.005116
                     76,                0.28356,                0.24719,                0.77567,                 0.4934,                      1,                0.73468,                0.46663,                 1.5274,                 1.0838,                 1.2149,                0.00505,                0.00505,                0.00505
                     77,                0.27771,                 0.2426,                0.77431,                0.56906,                      1,                   0.77,                0.46206,                 1.6522,                 1.1019,                 1.2319,               0.004984,               0.004984,               0.004984
                     78,                0.27641,                0.24948,                0.77591,                 0.5707,                      1,                   0.77,                0.45208,                 1.6543,                 1.2097,                 1.2552,               0.004918,               0.004918,               0.004918
